"Reference","Citation","Species","Common name","Stimulus","Modality","Choice","Task","Weber's law","k","Lower bound","Upper bound","Model fitted","Model test statistic","Model p value","Included","Exclusion reason","Source","Data","Search date","file prefix"
"Iwanir et al. 2019 (ii)","Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3","Caenorhabditis elegans","Roundworm","Concentration","taste","innate","rank","not reported","   NA","    NA","   NA","gaussian",,"NA","N","k failed","Database","Supplementary data 1",2022,"iwanir2019_salts"
"Lemus et al. 2009 ","Lemus, L., Hernández, A., Romo, R., 2009. Neural encoding of auditory discrimination in ventral premotor cortex. Proceedings of the National Academy of Sciences 106, 14640–14645. https://doi.org/10.1073/pnas.0907505106","Macaca mulatta","Rhesus macaque","Sound flutter freq.","hearing","conditioned","rank","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig 1B",2022,"lemus2009"
"Lind et al. 2013 ","Lind, O., Karlsson, S., Kelber, A., 2013. Brightness Discrimination in Budgerigars (Melopsittacus undulatus). PLOS ONE 8, e54650. https://doi.org/10.1371/journal.pone.0054650","Melopsittacus undulatus","Budgerigar","Brightness","vision","conditioned","rank","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Figure 2",2022,"lind2013"
"Liu et al. 2010 ","Liu, Y., Qin, L., Zhang, X., Dong, C., Sato, Y., 2010. Neural correlates of auditory temporal-interval discrimination in cats. Behavioural Brain Research 215, 28–38. https://doi.org/10.1016/j.bbr.2010.06.013","Felis catus","Cat","Duration","hearing","conditioned","difference","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig. 3",2022,"liu2010"
"Maier and Klump 1990 ","Maier, E.H., Klump, G.M., 1990. Auditory duration discrimination in the European starling (Sturnus vulgaris). The Journal of the Acoustical Society of America 88, 616–621. https://doi.org/10.1121/1.399765","Sturnus vulgaris","Common starling","Sound freq.","hearing","conditioned","difference","reported","   NA","    NA","   NA","gaussian",,"NA","N","k failed","Database","Fig. 1",2022,"maier1990"
"Qi et al. 2022 ","Qi, J., Ye, C., Naskar, S., Inácio, A.R., Lee, S., 2022. Posteromedial thalamic nucleus activity significantly contributes to perceptual discrimination. PLOS Biology 20, e3001896. https://doi.org/10.1371/journal.pbio.3001896","Mus musculus","House mouse","Grit","touch","conditioned","difference","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Supplemental",2024,"qi2022"
"Qin et al. 2009 ","Qin, L; Liu, YC; Wang, JY; Li, SN; Sato, Y","Felis catus","Domestic cat","Duration","hearing","conditioned","difference","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Figure 6",2022,"qin2009"
"Sanayei et al. 2018 ","Sanayei, M., Chen, X., Chicharro, D., Distler, C., Panzeri, S., Thiele, A., 2018. Perceptual learning of fine contrast discrimination changes neuronal tuning and population coding in macaque V4. Nat Commun 9, 4238. https://doi.org/10.1038/s41467-018-06698-w","Macaca mulatta","Rhesus macaque","Visual contrast level","vision","conditioned","rank","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Supplementary table 1",2022,"sanayei2018"
"Schulze and Scheich 1999 ","Schulze, H., Scheich, H., 1999. Discrimination learning of amplitude modulated tones in Mongolian gerbils. Neuroscience Letters 261, 13–16. https://doi.org/10.1016/S0304-3940(98)00991-4","Meriones unguiculatus","Mongolian gerbil","Sound freq.","hearing","conditioned","difference","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig. 1",2022,"schulze1999"
"Talwar and Gerstein 2001 ","Talwar, S.K., Gerstein, G.L., 2001. Reorganization in Awake Rat Auditory Cortex by Local Microstimulation and Its Effect on Frequency-Discrimination Behavior. Journal of Neurophysiology 86, 1555–1572. https://doi.org/10.1152/jn.2001.86.4.1555","Rattus norvegicus","Brown rat","Sound freq.","hearing","conditioned","difference","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Table 2",2022,"talwar2001"
"Thiele et al. 2024 ","Thiele, A., Chen, X., Sanayei, M., Chicharro, D., Distler, C., Panzeri, S., 2024. Perceptual Learning of Fine Contrast Discrimination Under Non-roving, Roving-Without-Flanker, and Roving-with-Flanker Conditions and its Relation to Neuronal Activity in Macaque V1. J Cogn Enhanc 8, 308–333. https://doi.org/10.1007/s41465-024-00298-x","Macaca mulatta","Rhesus macaque","Contrast","vision","conditioned","rank","reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Fig. 5A",2024,"thiele2024"
"Tumulty et al. 2022 (i)","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Anomaloglossus beebei","Golden rocket frog","Call pulse duration","hearing","innate","difference","not reported","   NA","    NA","   NA","gaussian",,"NA","N","k failed","Database","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR",2022,"tumulty2001_duration"
"Tumulty et al. 2022 (ii)","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Anomaloglossus beebei","Golden rocket frog","Call pulse interval","hearing","innate","difference","not reported","   NA","    NA","   NA","gaussian",,"NA","N","k failed","Database","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR",2022,"tumulty2022_interval"
"Tumulty et al. 2022 (iii)","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Anomaloglossus beebei","Golden rocket frog","Call pulse period","hearing","innate","difference","not reported","   NA","    NA","   NA","gaussian",,"NA","N","k failed","Database","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR",2022,"tumulty2022_period"
"Zhang et al. 2023 ","Zhang, A., Zador, A.M., 2023. Neurons in the primary visual cortex of freely moving rats encode both sensory and nonsensory task variables. PLoS Biology 21. https://doi.org/10.1371/journal.pbio.3002384","Rattus norvegicus","Brown rat","Quantity","vision","conditioned","rank","not reported","   NA","    NA","   NA","binomial",,"NA","N","k failed","Database","Zhang, A., 2023. Data for: “Neurons in the primary visual cortex of freely-moving rats encode both sensory and non-sensory task variables” 1. https://doi.org/10.17632/5ms7gcb67j.1",2024,"zhang2023"
"Bogale et al. 2011 ","Bogale, B.A., Kamata, N., Mioko, K., Sugita, S., 2011. Quantity discrimination in jungle crows, Corvus macrorhynchos. Animal Behaviour 82, 635–641. https://doi.org/10.1016/j.anbehav.2011.05.025","Corvus macrorhynchos","Large-billed crow","Quantity","vision","conditioned","rank","reported"," 2.92","  1.96"," 7.38","binomial",4.43,"<.001***","N","response plot","Review","Figure 3",2022,"bogale2011"
